Tipo de Muestra,Numero,area,perimetro,largo,ancho,volumen,superficie,espesor,espesor medio,intensidad media,contraste medio,suavidad,asimetria,uniformidad,aleatoriedad,Rp,area convex hull,perimetro convex hull,Ra,Rv,Rs,superficie convex hull,volumen convex hull,enlongacion Feret 2D,convexidad Feret 2D,solidez Feret 2D,factor de forma 2D,circularidad,rectangularidad,compacticidad 2D,relacion de aspecto 2D,redondez 2D,curvatura 2D,solidez 2D,convexidad 2D,area de defecto,factor de Paris 2D,extension 2D,indice de concavidad 2D,enlongacion Feret 3D,convexidad Feret 3D,solidez Feret 3D,relacion de aspecto 3D,planitud,factor de forma 3D,esfericidad,paralelepipedad,compacticidad 3D,redondez 3D,curvatura 3D,solidez 3D,convexidad 3D,volumen de defecto,factor de Paris 3D,extension 3D,indice de concavidad 3D,factor de Wilson-Huang,factor de Dellino,clase
N4,175_3,249.77,181.45,24.82,18.72,5150.6718,5460.68,83.22,20.62,2.45705686,1.18945371,0.58588705,1.323784325,7.451928553,1.164414265,28.878,328.683,95.845,8.917,10.713,20.846,4873.685292,18051.54795,2.4661707,0.8135082,1.4719047,0.0953369,0.3087668,2.0837446,0.5376119,0.7542373,0.516282,2.3270888,0.7599179,1.8931058,0.3159316,1.7862116,0.7074605,0.9248121,111.9026346,4.4643872,16.7181557,0.9472814,4.4457343,0.1357437,0.2641272,0.667906,0.1332155,0.0170672,0.2509733,0.2853313,1.120442,2.5046977,0.240884,0.46688,0.7247466,2.0536879,0.0815537,1
N4,177_1,825.94,262.35,53.84,29.87,116732.5307,25582.55,215.33,141.33,16.83991066,3.19713739,0.91088684,-3.609141137,293.8042785,4.046445664,41.755,1011.949,183.036,16.214,30.318,45.12,13392.122,76264.22023,3.5102303,0.9241777,2.2501603,0.150795,0.3883234,1.5670055,0.5135893,0.5546875,0.3627225,1.5509355,0.8161838,1.43334,0.2252142,0.8666801,0.629257,0.4707143,85.5358616,10.8774534,68.5516518,3.3766873,7.2098099,0.3033908,0.4515109,0.6514827,0.3370915,0.0223282,0.1756172,1.530633,1.9102683,-0.3466755,1.8205367,0.2202301,1.0536412,2.2769395,0.1753322,1
N4,177_2,196.73,129.09,22.08,15.35,6638.5605,3348.4,60.22,33.74,4.02067515,0.93638783,0.46718447,0.469178715,17.04265084,1.96952342,20.546,254.494,85.124,7.913,11.659,16.324,1796.909445,4961.338779,2.4791995,0.8150605,1.5051957,0.1483432,0.3851534,1.7240693,0.5801696,0.6952381,0.5135688,1.8606537,0.7730216,1.5165454,0.2936249,1.0330908,0.7505219,0.5642148,32.9031626,6.3411017,23.0521426,1.8026571,3.9223508,0.3643713,0.5101479,0.6454609,0.3250789,0.0580449,0.293864,1.3380583,1.8634214,-0.2526484,1.7268428,0.2429482,0.9272432,1.7111029,0.1964852,1
N4,177_3,127.98,94.59,19.14,11.36,4844.3627,3117.88,84.81,37.85,4.51004021,1.17768596,0.58105431,1.049420179,21.72740695,2.125007263,15.054,148.122,67.102,6.383,10.497,15.752,2358.921087,5794.45043,2.8624265,0.8960963,1.9424721,0.1797521,0.4239719,1.5507583,0.5887261,0.5934066,0.4448113,1.5730802,0.8640335,1.4096314,0.1573626,0.8192628,0.6813696,0.4316072,125.921591,9.5791659,55.1217783,2.4822558,7.4670771,0.2959192,0.4440673,0.5559897,0.2627565,0.0151671,0.1379808,0.8360349,1.3217409,0.1961223,0.6434819,0.3142889,0.3611119,2.5122097,0.188272,1
N4,177_4,515.16,274.55,38.28,31.13,31370.7689,14478.89,113.17,60.9,7.25567583,2.34254636,0.84585798,1.918362933,58.13235523,2.775729289,43.696,786.199,153.538,12.805,19.565,33.944,9546.804626,55190.41354,2.8444826,0.7832615,1.4638698,0.0858847,0.293061,1.9777562,0.4323211,0.8131868,0.4476173,2.2829449,0.6552534,1.7881429,0.5261271,1.5762858,0.6597769,0.8602438,46.2022057,4.2145423,13.7506379,1.7546805,3.6355185,0.191491,0.332225,0.8002409,0.2326271,0.041337,0.3598544,0.5684097,1.5166216,0.7592943,1.0332431,0.4092595,0.6731775,1.8847712,0.0973622,1
N4,177_5,2157.61,601.45,76.98,51.95,128893.3337,50653.63,181.08,59.74,7.11790343,4.00714053,0.94137365,62.37392683,66.72172447,2.611468365,95.723,2751.371,279.093,26.207,31.336,63.489,28724.00446,305725.8908,2.7465759,0.8665307,1.6916297,0.0749528,0.2737752,2.3324142,0.5395013,0.6748634,0.4635734,2.4869393,0.7841946,2.1550093,0.2751938,2.3100185,0.6879687,1.1749972,46.0695645,3.586476,10.1697662,0.9266714,3.4856465,0.1202377,0.2436093,0.9261304,0.1779789,0.041456,0.4916971,0.4215977,1.7634599,1.3719294,1.5269198,0.4221533,0.9578206,1.5135993,0.0666942,1
N4,177_6,287.99,146.64,24.19,23.98,19259.9528,8345.69,131.9,66.88,7.96831381,3.34586846,0.91799808,7.949481669,74.68886068,2.853209101,23.339,379.181,101.853,9.575,16.629,25.771,5882.095017,22424.06689,2.03149,0.7460589,1.2118292,0.1682934,0.4102358,1.5222867,0.4965675,0.9913043,0.6267516,1.9298085,0.7595158,1.4397508,0.3166283,0.8795016,0.6537948,0.5012119,119.159418,9.2926639,53.588035,2.7769309,5.5011707,0.2686505,0.4163499,0.6018603,0.2517612,0.0160278,0.1526828,0.8588965,1.4188302,0.1642846,0.8376604,0.2931218,0.4419603,3.2223194,0.1708016,1
N4,178_1,819.04,436.36,57.84,37.65,15245.882,10651.06,77.62,18.61,2.21791294,1.27155568,0.61786173,1.617435969,6.535991673,0.90255974,69.449,1346.35,208.875,16.146,15.382,29.113,12067.13222,83246.00898,4.0847467,0.8699565,1.9516404,0.054053,0.232493,2.2848583,0.3761097,0.6509091,0.3117059,2.4013892,0.6083378,2.0891041,0.6438236,2.1782082,0.618258,1.157388,30.6725516,1.5684865,2.9412887,0.3898727,2.0616419,0.1474992,0.2791643,0.5553519,0.090198,0.0622661,0.56274,0.1831425,0.8826501,4.4602291,-0.2346998,0.4925017,0.8252437,0.9964253,0.0649038,1
N4,178_2,597.93,303.1,38.7,29.03,25736.1656,18263.72,153.18,43.04,5.12847047,3.71295763,0.93236871,49.55145157,40.08726369,1.96202935,48.24,750.521,148.168,13.796,18.315,38.123,13975.34706,75054.11838,2.5048831,0.8205659,1.5673474,0.0817861,0.2859828,2.2377075,0.5322936,0.75,0.508303,2.4929955,0.7966873,2.0456671,0.2551975,2.0913342,0.6681337,1.0652491,139.6614704,5.2747382,25.0752081,1.2710602,5.2774789,0.1108884,0.2308115,0.7942315,0.1495677,0.0136749,0.2477569,0.3429014,1.3068527,1.9162898,0.6137054,0.4361826,0.7252152,2.3540546,0.0660081,1
N4,178_3,475.34,233.5,30.92,27.55,24869.5517,13183.03,139.74,52.32,6.23381252,3.46026386,0.92291936,5.208020702,50.83384443,2.315764663,37.163,596.99,130.519,12.301,18.108,32.389,9953.25477,50929.99879,2.0110749,0.7442113,1.2576497,0.1095587,0.3309966,1.9966864,0.5579789,0.8911565,0.6331139,2.4039058,0.7962356,1.7890139,0.2559097,1.5780277,0.7007711,0.8149005,109.7275536,6.1636862,28.0548925,1.7895468,5.0717211,0.1747314,0.3125461,0.7305336,0.2089051,0.0174055,0.2148868,0.4883085,1.3244949,1.0478857,0.6489897,0.4278137,0.6059085,2.7054268,0.1034517,1
